Bug-ID,MAJOR fault-revealed,MAJOR # revealing mutants,MAJOR # mutants,PIT fault-revealed,PIT # revealing mutants,PIT # mutants,Total # revealing mutants
JacksonCore-4f,True,8,480,True,21,1877,29
JacksonCore-5f,False,0,158,False,0,726,0
JacksonCore-7f,True,1,80,True,10,460,11
JacksonCore-8f,True,2,497,True,1,1931,3
JacksonDatabind-100f,False,0,107,False,0,419,0
JacksonDatabind-102f,False,0,58,False,0,310,0
JacksonDatabind-105f,True,1,10,True,3,44,4
JacksonDatabind-106f,True,4,113,True,6,437,10
JacksonDatabind-108f,False,0,221,False,0,1538,0
JacksonDatabind-111f,False,0,130,True,1,716,1
JacksonDatabind-11f,False,0,288,True,1,1510,1
JacksonDatabind-12f,True,4,222,True,3,617,7
JacksonDatabind-13f,True,1,56,True,2,285,3
JacksonDatabind-16f,False,0,53,True,14,148,14
JacksonDatabind-25f,False,0,980,False,0,4116,0
JacksonDatabind-38f,True,6,102,True,23,630,29
JacksonDatabind-3f,True,11,54,True,47,200,58
JacksonDatabind-44f,False,0,80,True,1,509,1
JacksonDatabind-46f,True,5,40,True,18,249,23
JacksonDatabind-70f,True,1,500,False,0,1769,1
JacksonDatabind-72f,False,0,11,False,0,103,0
JacksonDatabind-84f,False,0,23,True,11,137,11
JacksonDatabind-86f,False,0,23,True,7,137,7
JacksonDatabind-88f,True,1,41,True,14,200,15
JacksonDatabind-8f,True,3,139,True,14,699,17
JacksonDatabind-90f,True,1,161,False,0,992,1
JacksonDatabind-95f,False,0,319,False,0,1829,0
JacksonDatabind-97f,True,1,18,False,0,221,1
JacksonDatabind-99f,True,5,35,True,63,293,68
