Bug-ID,AOR-Revealing,AOR-Non-Revealing,AOR-No-Coverage,LOR-Revealing,LOR-Non-Revealing,LOR-No-Coverage,COR-Revealing,COR-Non-Revealing,COR-No-Coverage,ROR-Revealing,ROR-Non-Revealing,ROR-No-Coverage,SOR-Revealing,SOR-Non-Revealing,SOR-No-Coverage,ORU-Revealing,ORU-Non-Revealing,ORU-No-Coverage,EVR-Revealing,EVR-Non-Revealing,EVR-No-Coverage,LVR-Revealing,LVR-Non-Revealing,LVR-No-Coverage,STD-Revealing,STD-Non-Revealing,STD-No-Coverage
Closure-129f,0,0,0,0,0,0,0,21,15,0,8,1,0,0,0,0,0,0,0,0,0,0,3,4,0,9,17
Closure-12f,0,0,0,0,0,0,1,27,8,1,5,0,0,0,0,0,0,0,0,0,0,1,3,2,0,16,8
Closure-131f,0,0,0,0,0,0,1,52,11,0,93,50,0,0,0,0,0,0,0,0,0,0,152,0,0,89,15
Closure-139f,0,0,0,0,0,0,2,52,16,3,52,24,0,0,0,0,0,0,0,0,0,0,5,3,6,55,17
Closure-140f,0,0,16,0,0,0,1,44,67,1,56,47,0,0,0,0,0,0,0,0,0,0,56,35,2,105,112
Closure-141f,0,16,0,0,0,0,3,307,110,4,250,73,0,0,0,0,0,0,0,0,0,1,153,16,1,91,43
Closure-147f,0,0,0,0,0,0,2,87,37,1,57,16,0,0,0,0,0,0,0,0,0,0,6,8,1,29,5
Closure-148f,3,46,13,0,4,0,6,195,71,7,209,137,0,6,0,0,2,1,0,0,0,4,49,45,4,129,39
Closure-152f,0,0,0,0,0,0,0,78,132,0,30,22,0,0,0,0,0,0,0,0,0,0,21,20,0,38,47
Closure-164f,0,0,0,0,0,0,8,48,20,1,21,3,0,0,0,0,0,0,0,0,0,2,10,4,0,8,5
Closure-167f,0,0,0,0,2,0,0,93,193,0,18,55,0,0,0,0,0,0,0,0,0,0,44,24,0,3,31
Closure-173f,0,35,45,0,10,0,1,66,333,1,51,275,0,3,3,0,0,0,0,0,0,0,62,234,0,41,338
Closure-175f,0,103,13,0,0,0,0,127,35,0,38,21,0,0,0,0,3,1,0,0,0,0,56,15,0,20,19
Closure-19f,0,0,0,0,0,0,0,34,16,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
Closure-22f,0,0,0,0,0,0,1,24,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,11
Closure-27f,0,0,0,0,0,0,0,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,76,7
Closure-28f,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,1,0,7,1
Closure-30f,0,0,0,0,0,0,1,108,49,0,27,7,0,0,0,0,0,0,0,0,0,2,26,14,1,51,14
Closure-33f,0,4,0,0,0,0,1,104,27,0,37,5,0,0,0,0,0,0,0,0,0,0,22,2,0,26,5
Closure-39f,0,4,0,0,0,0,1,99,24,0,37,5,0,0,0,0,0,0,0,0,0,0,21,3,0,25,4
Closure-42f,0,2,22,0,0,0,1,36,63,0,31,54,0,0,0,0,0,1,0,0,0,0,13,54,1,33,106
Closure-49f,0,0,0,0,0,0,1,16,51,2,9,23,0,0,0,0,0,0,0,0,0,0,14,14,1,10,37
Closure-50f,0,5,6,0,0,0,4,83,51,2,54,87,0,0,0,0,0,0,0,0,0,0,29,28,0,33,18
Closure-52f,0,25,19,0,8,0,2,46,158,1,53,311,0,3,3,0,0,1,0,0,0,0,61,165,0,39,246
Closure-54f,0,0,4,0,0,0,0,89,637,0,33,279,0,0,0,0,0,0,0,0,0,0,18,42,0,39,255
Closure-65f,0,15,29,0,8,0,0,34,168,0,40,322,0,3,3,0,0,1,0,0,0,0,55,169,1,37,247
Closure-73f,0,0,44,0,0,8,0,13,189,0,21,340,0,0,6,0,0,1,0,0,0,0,13,211,0,10,272
Closure-75f,0,4,12,0,0,2,0,19,515,0,35,376,0,0,0,0,0,0,0,0,0,0,14,215,0,8,81
Closure-77f,0,1,43,0,0,8,0,13,183,0,19,331,0,0,6,0,0,1,0,0,0,0,12,209,0,8,271
Closure-7f,0,0,0,0,0,0,4,31,15,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
Closure-80f,0,4,12,0,0,2,0,17,515,0,34,379,0,0,0,0,0,0,0,0,0,0,12,218,0,7,86
Closure-81f,0,0,28,0,0,0,0,31,43,1,25,76,0,0,0,0,0,1,0,0,0,0,6,49,1,31,88
Closure-82f,0,0,0,0,1,1,0,71,59,0,8,2,0,0,0,0,0,0,0,0,0,0,43,7,0,4,7
Closure-85f,0,0,0,0,0,0,1,30,9,0,21,12,0,0,0,0,0,0,0,0,0,0,6,2,0,15,2
Closure-94f,0,4,12,0,0,2,0,11,351,0,20,310,0,0,0,0,0,0,0,0,0,0,11,146,0,7,62
Closure-99f,0,0,0,0,0,0,1,49,8,0,37,11,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0
Codec-11f,6,26,0,0,4,0,9,16,5,8,41,8,0,3,1,0,0,0,0,0,0,13,36,1,6,19,0
Codec-12f,0,11,1,0,0,0,2,12,2,4,29,7,0,0,0,0,0,0,0,0,0,3,43,7,1,5,1
Codec-15f,0,8,0,0,0,0,0,15,5,1,34,8,0,0,0,0,0,0,0,0,0,0,26,4,0,6,0
Codec-16f,0,30,6,0,90,0,0,34,6,1,52,15,0,51,39,0,0,0,0,0,0,0,417,93,0,79,0
